,release_date,movie,distributor,domestic_box_office_to_date,trailer
1555,2009-02-06,Coraline ,Focus Features,75286229, 
1556,2009-02-06,He's Just Not That Into You ,Warner Bros.,93953653, 
1557,2009-02-06,The Pink Panther 2 ,Sony Pictures,35922978, 
1558,2009-02-06,Polytechnique ,,1418304, 
1559,2009-02-06,Push ,Summit Entertainment,31811527, 
1560,2009-02-06,2009 Oscar Shorts ,Shorts International,644635, 
1561,2009-02-06,Absurdistan ,First Run Features,39683, 
1562,2009-02-06,Babysitter Wanted ,Anchor Bay Entertainment,, 
1563,2009-02-06,Dev D ,UTV Communications,11917, 
1564,2009-02-06,Fanboys ,Weinstein Co.,687609, 
1565,2009-02-06,Incendiary ,Capitol Films,1260, 
1566,2009-02-13,Confessions of a Shopaholic ,Walt Disney,44277350, 
1567,2009-02-13,Friday the 13th ,Warner Bros.,65002019, 
1568,2009-02-13,The International ,Sony Pictures,25450527, 
1569,2009-02-13,Billu ,,754928, 
1570,2009-02-13,Delhi 6 ,UTV Communications,879913, 
1571,2009-02-13,Eleven Minutes ,Regent Releasing,7986, 
1572,2009-02-13,Gomorrah ,IFC Films,1579146, 
1573,2009-02-13,Must Read After My Death ,Gigantic Pictures,, 
1574,2009-02-13,Two Lovers ,Magnolia Pictures,3149034, 
1575,2009-02-13,Under the Sea 3D ,Warner Bros.,36252198, 
1576,2009-02-18,Katyn ,Lorber Films,118095, 
1577,2009-02-20,Fired Up ,Sony Pictures,17231291, 
1578,2009-02-20,Madea Goes To Jail ,Lionsgate,90508336, 
1579,2009-02-21,Stone of Destiny ,,389584, 
1580,2009-02-25,Examined Life ,Zeitgeist,120712, 
1581,2009-02-27,Le Bonheur de Pierre ,,267856, 
1582,2009-02-27,Jonas Brothers: The 3D Concert Experience ,Walt Disney,19162740, 
1583,2009-02-27,Street Fighter: The Legend of Chun-Li ,20th Century Fox,8742261, 
1584,2009-02-27,An American Affair ,Screen Media Films,28044, 
1585,2009-02-27,Bob Funk ,Cinema Epoch,4085, 
1586,2009-02-27,Crossing Over ,Weinstein Co.,4462332, 
1587,2009-02-27,Echelon Conspiracy ,After Dark,796716, 
1588,2009-02-27,Play the Game ,Slowhand Cinema,659483, 
1589,2009-02-27,Robert Blecker Wants Me Dead ,Atlas Media Group,9166, 
1590,2009-02-27,Scott Walker: 30 Century Man ,,6840, 
1591,2009-02-27,The Trouble With Romance ,,, 
1592,2009-03-01,Jonah ,Self Distributed,, 
1593,2009-03-01,Mine ,Film Movement,11283, 
1594,2009-03-04,12 ,Sony Pictures Classics,125120, 
1595,2009-03-06,Watchmen ,Warner Bros.,107509799, 
1596,2009-03-06,13B ,Big Pictures,12449, 
1597,2009-03-06,Dhoondte Reh Jaoge ,UTV Communications,5127, 
1598,2009-03-06,Everlasting Moments ,IFC Films,610825, 
1599,2009-03-06,Explicit Ills ,Peace Arch Releasing,28564, 
1600,2009-03-06,Fados ,Zeitgeist,129150, 
1601,2009-03-06,Horsemen ,Focus Features,, 
1602,2009-03-06,Phoebe in Wonderland ,ThinkFilm,73361, 
1603,2009-03-06,Reunion ,The Talking Pictures Company,8030, 
1604,2009-03-06,Sherman's Way ,,13282, 
1605,2009-03-06,Shuttle ,Truly Indie,1925, 
1606,2009-03-06,Tokyo! ,,351059, 
1607,2009-03-06,Yaavarum Nalam ,Big Pictures,36594, 
1608,2009-03-06,Warchmen ,Warner Bros.,107509799, 
1609,2009-03-09,The Cake Eaters ,7-57 Releasing,35817, 
1610,2009-03-13,The Last House on the Left ,Universal,32752215, 
1611,2009-03-13,Miss March ,20th Century Fox,4543320, 
1612,2009-03-13,Race to Witch Mountain ,Walt Disney,67172595, 
1613,2009-03-13,Sunshine Cleaning ,Overture Films,12062558, 
1614,2009-03-13,Brothers at War ,,153148, 
1615,2009-03-13,Carmen and Geoffrey ,First Run Features,14130, 
1616,2009-03-13,"DÃ©dÃ©, Ã  travers les brumes ",TVA Films,1548858, 
1617,2009-03-13,The Edge of Love ,Image Entertainment,33260, 
1618,2009-03-13,Hope & Redemption: The Lena Baker Story ,American World Pictures,18215, 
1619,2009-03-13,The Perfect Sleep ,Cinema Epoch,6224, 
1620,2009-03-13,Severed Ways: The Norse Discovery of America ,Magnolia Pictures,18728, 
1621,2009-03-13,Throw Down Your Heart ,Argot Pictures,115778, 
1622,2009-03-13,Tokyo Sonata ,Regent Releasing,278356, 
1623,2009-03-13,Waiting for Dublin ,Cinema Libre,5925, 
1624,2009-03-13,Z ,Rialto Pictures,14283305, 
1625,2009-03-18,Valentino: The Last Emperor ,Truly Indie,1755134, 
1626,2009-03-20,Duplicity ,Universal,40572825, 
1627,2009-03-20,"I Love You, Man ",Paramount Pictures,72013010, 
1628,2009-03-20,Knowing ,Summit Entertainment,79957634, 
1629,2009-03-20,The Great Buck Howard ,Magnolia Pictures,750587, 
1630,2009-03-20,Mancora ,Maya Releasing,29697, 
1631,2009-03-20,The New Twenty ,Wolfe Twenty,17625, 
1632,2009-03-20,Perestroika ,Strand,26064, 
1633,2009-03-20,Sin Nombre ,Focus Features,2536665, 
1634,2009-03-20,Skills Like This ,Shadow,62408, 
1635,2009-03-20,Super Capers ,Roadside Attractions,30955, 
1636,2009-03-27,12 Rounds ,20th Century Fox,12234694, 
1637,2009-03-27,Grande ourse - La cle des possibles ,,268143, 
1638,2009-03-27,The Haunting in Connecticut ,Lionsgate,55389516, 
1639,2009-03-27,Monsters vs. Aliens ,Paramount Pictures,198351526, 
1640,2009-03-27,America Betrayed ,First Run Features,2450, 
1641,2009-03-27,American Swing ,Magnolia Pictures,30156, 
1642,2009-03-27,The Cross: The Arthur Blessitt Story ,Gener8xion Entertainment,741557, 
1643,2009-03-27,Goodbye Solo ,Roadside Attractions,871445, 
1644,2009-03-27,Guest of Cindy Sherman ,Trela,27052, 
1645,2009-03-27,"Merry Gentleman, The ",,347977, 
1646,2009-03-27,Shall We Kiss? ,Music Box Films,535499, 
1647,2009-03-27,Spinning into Butter ,Screen Media Films,8064, 
1648,2009-03-27,Three Monkeys ,Zeitgeist,41343, 
1649,2009-03-27,The Country Teacher ,Film Movement,50072, 
1650,2009-03-27,Monsters vs. Aliens ,Paramount Pictures,198351526, 
1651,2009-03-28,AibÃ´ shirÃ®zu Kanshiki Yonezawa Mamoru no jikenbo ,,, 
1652,2009-04-01,Tulpan ,Zeitgeist,158741, 
1653,2009-04-03,Adventureland ,Miramax,16044025, 
1654,2009-04-03,Fast & Furious ,Universal,155064265, 
1655,2009-04-03,Alien Trespass ,Roadside Attractions,104526, 
1656,2009-04-03,Bart Got a Room ,Anchor Bay Entertainment,53760, 
1657,2009-04-03,C Me Dance ,Freestyle Releasing,, 
1658,2009-04-03,The Escapist ,ThinkFilm,13439, 
1659,2009-04-03,Paris 36 ,Sony Pictures Classics,850575, 
1660,2009-04-03,Gigantic ,First Independent Pictures,102704, 
1661,2009-04-03,Lifelines ,Kanbar Entertainment,6793, 
1662,2009-04-03,Rolling ,Indican Pictures,113132, 
1663,2009-04-03,The Song of Sparrows ,Regent Releasing,116372, 
1664,2009-04-03,Sugar ,Sony Pictures Classics,1081922, 
1665,2009-04-10,Dragonball Evolution ,20th Century Fox,9362785, 
1666,2009-04-10,Hannah Montana the Movie ,Walt Disney,79576189, 
1667,2009-04-10,Observe and Report ,Warner Bros.,24007324, 
1668,2009-04-10,Royal Kill ,Lionsgate,, 
1669,2009-04-10,Anvil! The Story of Anvil ,Abramorama Films,667911, 
1670,2009-04-10,In a Dream ,International Film Circuit,55270, 
1671,2009-04-10,"Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles ",Janus Films,19858, 
1672,2009-04-10,Lymelife ,Screen Media Films,421307, 
1673,2009-04-10,Monster Beach Party ,Indican Pictures,113132, 
1674,2009-04-10,The Mysteries of Pittsburgh ,Peace Arch Releasing,80283, 
1675,2009-04-10,Tera Mera Ki Rishta ,Eros Entertainment,271942, 
1676,2009-04-10,Winter of Frozen Dreams ,Monterey Media,8321, 
1677,2009-04-17,17 Again ,Warner Bros.,64167069, 
1678,2009-04-17,Crank 2: High Voltage ,Lionsgate,13684249, 
1679,2009-04-17,State of Play ,Universal,37017955, 
1680,2009-04-17,American Violet ,Samuel Goldwyn Films,554434, 
1681,2009-04-17,Lemon Tree ,IFC Films,569672, 
1682,2009-04-17,Every Little Step ,Sony Pictures Classics,1725141, 
1683,2009-04-17,The Golden Boys ,Roadside Attractions,184169, 
1684,2009-04-17,Gooby ,Monterey Media,3564, 
1685,2009-04-17,Is Anybody There? ,Stony Island Entertainment,2026756, 
1686,2009-04-17,"Léon Morin, Priest ",,46436, 
1687,2009-04-17,Sleep Dealer ,Maya Releasing,80136, 
1688,2009-04-22,earth ,Walt Disney,32011576, 
1689,2009-04-22,Oblivion ,Icarus Films,9939, 
1690,2009-04-22,Treeless Mountain ,Oscilloscope Pictures,60336, 
1691,2009-04-23,Home ,Monterey Media,15433, 
1692,2009-04-24,Fighting ,Universal,23091010, 
1693,2009-04-24,Obsessed ,Sony Pictures,68261644, 
1694,2009-04-24,The Soloist ,Paramount Pictures,31853584, 
1695,2009-04-24,The Bride & The Grooms ,Sumbadhat Productions,5995, 
1696,2009-04-24,Il Divo ,Music Box Films,240159, 
1697,2009-04-24,The Garden ,Oscilloscope Pictures,26931, 
1698,2009-04-24,The Informers ,Senator Entertainment,315000, 
1699,2009-04-24,Jazz in the Diamond District ,Truly Indie,7634, 
1700,2009-04-24,Mutant Chronicles ,Magnolia Pictures,6820, 
1701,2009-04-24,Nursery University ,Variance Films,26042, 
1702,2009-04-24,Tyson ,Sony Pictures Classics,887918, 
1703,2009-04-30,Westminster Wife Show ,Mainline Releasing,, 
1704,2009-05-01,Battle for Terra ,Roadside Attractions,1647083, 
1705,2009-05-01,Ghosts of Girlfriends Past ,Warner Bros.,55250026, 
1706,2009-05-01,X-Men Origins: Wolverine ,20th Century Fox,179883157, 
1707,2009-05-01,Break ,Cinema Epoch,1191, 
1708,2009-05-01,Eldorado ,Film Movement,10443, 
1709,2009-05-01,The Last Lullaby ,,21413, 
1710,2009-05-01,The Limits of Control ,Focus Features,426688, 
1711,2009-05-01,Revanche ,Janus Films,308040, 
1712,2009-05-01,The Skeptic ,IFC Films,6671, 
1713,2009-05-01,The Window ,Film Movement,12738, 
1714,2009-05-01,A Wink and a Smile ,First Run Features,20169, 
1715,2009-05-08,Next Day Air ,Summit Entertainment,10027047, 
1716,2009-05-08,Star Trek ,Paramount Pictures,257730019, 
1717,2009-05-08,Adoration ,Sony Pictures Classics,294244, 
1718,2009-05-08,Fire Creek ,,, 
1719,2009-05-08,Julia ,Magnolia Pictures,65108, 
1720,2009-05-08,Kabei: Our Mother ,Strand,14416, 
1721,2009-05-08,Little Ashes ,Regent Releasing,481586, 
1722,2009-05-08,Love N' Dancing ,Screen Media Films,47812, 
1723,2009-05-08,Objectified ,,8668, 
1724,2009-05-08,Outrage ,Magnolia Pictures,287198, 
1725,2009-05-08,Rudo y Cursi ,Sony Pictures Classics,1827660, 
1726,2009-05-15,Angels & Demons ,Sony Pictures,133375846, 
1727,2009-05-15,The Brothers Bloom ,Summit Entertainment,3531756, 
1728,2009-05-15,Big Man Japan ,Magnolia Pictures,40796, 
1729,2009-05-15,The Death Factory Bloodletting ,Nocturnal Features,4638, 
1730,2009-05-15,L'heure d'Ã©tÃ© ,IFC Films,1647001, 
1731,2009-05-15,Jerichow ,Cinema Guild,60105, 
1732,2009-05-15,Management ,Samuel Goldwyn Films,934658, 
1733,2009-05-15,Not Forgotten ,Anchor Bay Entertainment,53723, 
1734,2009-05-20,Burma VJ ,Oscilloscope Pictures,51672, 
1735,2009-05-21,Terminator Salvation ,Warner Bros.,125322469, 
1736,2009-05-22,Dance Flick ,Paramount Pictures,25794018, 
1737,2009-05-22,Night at the Museum: Battle of the Smithsonian ,20th Century Fox,177243721, 
1738,2009-05-22,The Boys: The Sherman Brothers' Story ,,55513, 
1739,2009-05-22,Easy Virtue ,Sony Pictures Classics,2656784, 
1740,2009-05-22,The Girlfriend Experience ,Magnolia Pictures,695840, 
1741,2009-05-22,O'Horten ,Sony Pictures Classics,302232, 
1742,2009-05-22,Night at the Museum: Battle of the Smithsonian ,20th Century Fox,177243721, 
1743,2009-05-27,Pressure Cooker ,Bev Pictures,44802, 
1744,2009-05-29,Drag Me To Hell ,Universal,42100625, 
1745,2009-05-29,Up ,Walt Disney,293004164, 
1746,2009-05-29,Laila's Birthday ,Kino International,13689, 
1747,2009-05-29,MillÃ©nium - Le Film ,Alliance Films,12749992, 
1748,2009-05-29,Munyurangabo ,Film Movement,7001, 
1749,2009-05-29,Offshore ,Big Pictures,, 
1750,2009-05-29,Departures ,Regent Releasing,1543346, 
1751,2009-05-29,Pontypool ,IFC Films,3865, 
1752,2009-05-29,Rashomon ,Janus Films,96568, 
1753,2009-05-29,What Goes Up ,,5290, 
1754,2009-06-03,Unmistaken Child ,Oscilloscope Pictures,306140, 
1755,2009-06-05,The Hangover ,Warner Bros.,277322503, 
1756,2009-06-05,Land of the Lost ,Universal,49438370, 
1757,2009-06-05,My Life in Ruins ,Fox Searchlight,8677425, 
1758,2009-06-05,24 City ,Cinema Guild,30799, 
1759,2009-06-05,The Art of Being Straight ,Regent Releasing,10382, 
1760,2009-06-05,Away We Go ,Focus Features,9451946, 
1761,2009-06-05,Daytime Drinking ,Eleven Arts,4970, 
1762,2009-06-05,Downloading Nancy ,Strand,22282, 
1763,2009-06-05,Herb & Dorothy ,Arthouse Films,194721, 
1764,2009-06-05,Pig Hunt ,,, 
1765,2009-06-05,Seraphine ,Music Box Films,884613, 
1766,2009-06-05,Tennessee ,Vivendi Entertainment,16100, 
1767,2009-06-11,Blast ,Paul Devlin Productions,, 
1768,2009-06-11,Tetro ,American Zoetrope,518522, 
1769,2009-06-12,Imagine That ,Paramount Pictures,16222392, 
1770,2009-06-12,The Taking of Pelham 123 ,Sony Pictures,65452312, 
1771,2009-06-12,Betty Blue ,Cinema Libre,179391, 
1772,2009-06-12,Call of the Wild 3D ,Vivendi Entertainment,28682, 
1773,2009-06-12,Le combat dans l'Ã®le ,The Film Desk,50039, 
1774,2009-06-12,Death of a Ghost Hunter ,Nocturnal Features,4490, 
1775,2009-06-12,"Food, Inc. ",Magnolia Pictures,4417674, 
1776,2009-06-12,Kal Kissne Dekha ,Big Pictures,24625, 
1777,2009-06-12,The Last International Playboy ,,25646, 
1778,2009-06-12,Moon ,Sony Pictures Classics,5010163, 
1779,2009-06-12,Sex Positive ,Regent Releasing,12069, 
1780,2009-06-12,Street Dreams ,Slowhand Cinema,122575, 
1781,2009-06-12,Unbeatable Harold ,LG Entertainment Group,, 
1782,2009-06-12,"War Eagle, Arkansas ",Empire Pictures,123670, 
1783,2009-06-12,Youssou N'Dour: I Bring What I Love ,Shadow,172225, 
1784,2009-06-17,Under Our Skin ,Shadow,98548, 
1785,2009-06-17,The Windmill Movie ,The Film Desk,30050, 
1786,2009-06-19,The Proposal ,Walt Disney,163958031, 
1787,2009-06-19,Year One ,Sony Pictures,43337279, 
1788,2009-06-19,$9.99 ,Regent Releasing,52107, 
1789,2009-06-19,Brighton Rock ,Rialto Pictures,46466, 
1790,2009-06-19,Dead Snow ,IFC Films,46742, 
1791,2009-06-19,Irene in Time ,Rainbow Releasing,110175, 
1792,2009-06-19,Whatever Works ,Sony Pictures Classics,5306706, 
1793,2009-06-24,Transformers: Revenge of the Fallen ,Paramount Pictures,402111870,Play
1794,2009-06-24,Transformers: Revenge of the Fallen ,Paramount Pictures,402111870,Play
1795,2009-06-26,My Sister's Keeper ,Warner Bros.,49200230, 
1796,2009-06-26,Afghan Star ,Zeitgeist,102115, 
1797,2009-06-26,Quiet Chaos ,IFC Films,11434, 
1798,2009-06-26,ChÃ©ri ,Miramax,2715657, 
1799,2009-06-26,The Hurt Locker ,Summit Entertainment,17017811, 
1800,2009-06-26,Life is Hot in Cracktown ,,, 
1801,2009-06-26,New York ,Yash Raj Films,997437, 
1802,2009-06-26,The Stoning of Soraya M. ,Roadside Attractions,655871, 
1803,2009-06-26,Surveillance ,Magnolia Pictures,27349, 
1804,2009-07-01,Ice Age: Dawn of the Dinosaurs ,20th Century Fox,196573705,Play
1805,2009-07-01,Public Enemies ,Universal,97104620, 
1806,2009-07-01,The Beaches of AgnÃ¨s ,Cinema Guild,239711, 
1807,2009-07-03,Evangelion: 1.0 You Are ,Eleven Arts,107797, 
1808,2009-07-03,The Girl from Monaco ,Magnolia Pictures,602992,Play
1809,2009-07-03,I Hate Valentine's Day ,IFC Films,11004, 
1810,2009-07-03,Kambakkht Ishq ,Eros Entertainment,1455739, 
1811,2009-07-03,Lion's Den ,Strand,14739, 
1812,2009-07-03,Local Color ,Monterey Media,49939, 
1813,2009-07-03,Tony Manero ,Lorber Films,33447, 
1814,2009-07-08,De pÃ¨re en flic ,,10644453, 
1815,2009-07-08,If God Wants ,Concentrated Distribution,, 
1816,2009-07-10,BrÃ¼no ,Universal,60054530,Play
1817,2009-07-10,"I Love You, Beth Cooper ",20th Century Fox,14800725, 
1818,2009-07-10,Blood: The Last Vampire ,Samuel Goldwyn Films,256682,Play
1819,2009-07-10,Dillinger is Dead ,Janus Films,8322, 
1820,2009-07-10,Humpday ,Magnolia Pictures,407377,Play
1821,2009-07-10,The Vanished Empire ,Kino International,10289, 
1822,2009-07-10,Lake Tahoe ,Film Movement,5685, 
1823,2009-07-10,Mississippi Mermaid ,MGM,27795, 
1824,2009-07-10,Soul Power ,Sony Pictures Classics,207121, 
1825,2009-07-10,Weather Girl ,Self Distributed,20915, 
1826,2009-07-10,"Yoo-Hoo, Mrs. Goldberg ",International Film Circuit,1134623, 
1827,2009-07-15,Harry Potter and the Half-Blood Prince ,Warner Bros.,302089278,Play
1828,2009-07-15,Harry Potter and the Half-Blood Prince ,Warner Bros.,302089278,Play
1829,2009-07-17,,Fox Searchlight,32425665, 
1830,2009-07-17,A Woman in Berlin ,Strand,294014, 
1831,2009-07-17,Death in Love ,Screen Media Films,23412, 
1832,2009-07-17,The Poker House ,Phase 4 Films,, 
1833,2009-07-17,Somers Town ,Film Movement,54526, 
1834,2009-07-17,The Way We Get By ,International Film Circuit,106542,Play
1835,2009-07-17,The Wonder of it All ,Indican Pictures,781016, 
1836,2009-07-24,G-Force ,Walt Disney,119436770, 
1837,2009-07-24,Orphan ,Warner Bros.,41596251, 
1838,2009-07-24,The Ugly Truth ,Sony Pictures,88915214,Play
1839,2009-07-24,The Answer Man ,Magnolia Pictures,26676, 
1840,2009-07-24,How to be a Serial Killer ,Monterey Media,899, 
1841,2009-07-24,In the Loop ,IFC Films,2388804, 
1842,2009-07-24,Loren Cass ,Kino International,8125, 
1843,2009-07-24,Shadowland ,,8221, 
1844,2009-07-24,Shrink ,Roadside Attractions,189621,Play
1845,2009-07-29,Adam ,Fox Searchlight,2283291, 
1846,2009-07-31,Aliens in the Attic ,20th Century Fox,25200412, 
1847,2009-07-31,The Collector ,Freestyle Releasing,7712114, 
1848,2009-07-31,Les doigts croches ,,1662485, 
1849,2009-07-31,Funny People ,Universal,51855045, 
1850,2009-07-31,Act of God ,Zeitgeist,9955, 
1851,2009-07-31,The Cove ,Roadside Attractions,869730, 
1852,2009-07-31,Flammen og Citronen ,IFC Films,148089, 
1853,2009-07-31,Ghosted ,First Run Features,1780, 
1854,2009-07-31,Gotta Dance ,Mitropoulos Films,25107, 
1855,2009-07-31,If I Die Tonight ,Indican Pictures,20214, 
1856,2009-07-31,Love Aaj Kal ,Eros Entertainment,2430083, 
1857,2009-07-31,Not Quite Hollywood ,Magnet Pictures,21152, 
1858,2009-07-31,Lorna's Silence ,Sony Pictures Classics,338795, 
1859,2009-07-31,Thirst ,Focus Features,318574, 
1860,2009-07-31,"You, The Living ",Palisades,21438, 
1861,2009-08-05,Star Trek ,Paramount Pictures,257730019, 
1862,2009-08-07,G.I. Joe: The Rise of Cobra ,Paramount Pictures,150201498, 
1863,2009-08-07,Julie & Julia ,Sony Pictures,94125426,Play
1864,2009-08-07,A Perfect Getaway ,Universal,15515460, 
1865,2009-08-07,,Fox Searchlight,32425665, 
1866,2009-08-07,12 in a Box ,Cinevolve Studios,553, 
1867,2009-08-07,Beeswax ,Cinema Guild,46590, 
1868,2009-08-07,Cold Souls ,Samuel Goldwyn Films,905209, 
1869,2009-08-07,I Sell the Dead ,IFC Films,7066, 
1870,2009-08-07,Bliss ,First Run Features,40349, 
1871,2009-08-07,Paper Heart ,Overture Films,1274062, 
1872,2009-08-07,El Tinte de la Fama ,Cinevolve Studios,341, 
1873,2009-08-14,Bandslam ,Summit Entertainment,5210988, 
1874,2009-08-14,District 9 ,Sony Pictures,115646235,Play
1875,2009-08-14,Ponyo ,Walt Disney,15090399, 
1876,2009-08-14,"The Goods: Live Hard, Sell Hard ",Paramount Vantage,15122676, 
1877,2009-08-14,The Time Traveler's Wife ,Warner Bros.,63414846, 
1878,2009-08-14,American Casino ,Argot Pictures,46710, 
1879,2009-08-14,Confessions of a Ex-Doofus-Itchy Footed Mutha ,Self Distributed,2310, 
1880,2009-08-14,Earth Days ,Zeitgeist,26748, 
1881,2009-08-14,Grace ,Anchor Bay Entertainment,8297, 
1882,2009-08-14,It Might Get Loud ,Sony Pictures Classics,1610163, 
1883,2009-08-14,Kaminey ,UTV Communications,1286143, 
1884,2009-08-14,Mein Fuhrer: The Truly Truest Truth About Adolf Hitler ,,2465, 
1885,2009-08-14,"Patrik, Age 1.5 ",,57468, 
1886,2009-08-14,Spread ,,250617,Play
1887,2009-08-14,Taxidermia ,Regent Releasing,11408, 
1888,2009-08-14,Cloud 9 ,,91675, 
1889,2009-08-19,The Headless Woman ,Strand,100177, 
1890,2009-08-20,Bio-Dead ,,, 
1891,2009-08-20,Inglourious Basterds ,Weinstein Co.,120774594,Play
1892,2009-08-21,Inglourious Basterds ,Weinstein Co.,120774594,Play
1893,2009-08-21,Post Grad ,20th Century Fox,6382178, 
1894,2009-08-21,Shorts ,Warner Bros.,20919166, 
1895,2009-08-21,X Games 3D: The Movie ,Walt Disney,1391434, 
1896,2009-08-21,American Streetballers ,MSK Productions,11581, 
1897,2009-08-21,Art & Copy ,Seventh Art Releasing,139418, 
1898,2009-08-21,The Baader Meinhof Complex ,Vitagraph Films,476270, 
1899,2009-08-21,Casi Divas ,Maya Releasing,46612, 
1900,2009-08-21,Fifty Dead Men Walking ,Phase 4 Films,, 
1901,2009-08-21,Five Minutes of Heaven ,IFC Films,15676, 
1902,2009-08-21,The Marc Pease Experience ,Paramount Vantage,4033, 
1903,2009-08-21,My One and Only ,Freestyle Releasing,2556558,Play
1904,2009-08-21,Sikandar ,Reliance Big Pictures,1954, 
1905,2009-08-21,World's Greatest Dad ,Magnolia Pictures,221805, 
1906,2009-08-26,Taking Woodstock ,Focus Features,7460204, 
1907,2009-08-28,The Final Destination ,Warner Bros.,66477700,Play
1908,2009-08-28,Halloween 2 ,Weinstein/Dimension,33392973, 
1909,2009-08-28,Taking Woodstock ,Focus Features,7460204, 
1910,2009-08-28,Big Fan ,First Independent Pictures,234540,Play
1911,2009-08-28,Daddy Cool ,Big Pictures,14319, 
1912,2009-08-28,Into Temptation ,,97457, 
1913,2009-08-28,Mystery Team ,Roadside Attractions,89442, 
1914,2009-08-28,The Open Road ,Anchor Bay Entertainment,19716,Play
1915,2009-08-28,The September Issue ,Roadside Attractions,3820700, 
1916,2009-08-28,Still Walking ,IFC Films,167047, 
1917,2009-08-28,We Live in Public ,Abramorama Films,44344, 
1918,2009-08-29,Sheltered Life ,,, 
1919,2009-09-01,1981 ,,753197, 
1920,2009-09-04,All About Steve ,20th Century Fox,33862903, 
1921,2009-09-04,Extract ,Miramax,10823158, 
1922,2009-09-04,Gamer ,Lionsgate,20534907,Play
1923,2009-09-04,Aagey Se Right ,UTV Communications,, 
1924,2009-09-04,Amreeka ,National Geographic Entertainment,627436, 
1925,2009-09-04,Carriers ,Paramount Vantage,120866, 
1926,2009-09-04,Sandstorm ,Self Distributed,3444, 
1927,2009-09-09,9 ,Focus Features,31749894,Play
1928,2009-09-09,Crude ,First Run Features,170295, 
1929,2009-09-09,Disengagement ,,, 
1930,2009-09-09,"Mary Pickford, The Muse of All Movies ",,, 
1931,2009-09-10,Walt and El Grupo ,Walt Disney,20521, 
1932,2009-09-11,I Can Do Bad All By Myself ,Lionsgate,51733921,Play
1933,2009-09-11,Sorority Row ,Summit Entertainment,11965282, 
1934,2009-09-11,Whiteout ,Warner Bros.,10275638, 
1935,2009-09-11,Beyond a Reasonable Doubt ,Anchor Bay Entertainment,32917, 
1936,2009-09-11,Big Gay Musical ,Self Distributed,223455, 
1937,2009-09-11,Broken Hill ,Audience Alliance,50076, 
1938,2009-09-11,Give Me Your Hand ,Strand,2434, 
1939,2009-09-11,Gogol Bordello Non-Stop ,Lorber Films,5532, 
1940,2009-09-11,The Horse Boy ,Zeitgeist,156612, 
1941,2009-09-11,No Impact Man ,Oscilloscope Pictures,100028, 
1942,2009-09-11,The Other Man ,Image Entertainment,149530, 
1943,2009-09-11,White On Rice ,Variance Films,69171,Play
1944,2009-09-12,Citizen Jane ,,, 
1945,2009-09-16,Bounty ,,, 
1946,2009-09-17,Bright Star ,Apparition,4444637, 
1947,2009-09-18,Cloudy with a Chance of Meatballs ,Sony Pictures,124870275, 
1948,2009-09-18,The Informant ,Warner Bros.,33316821, 
1949,2009-09-18,Jennifer's Body ,20th Century Fox,16204793, 
1950,2009-09-18,Love Happens ,Universal,22965110, 
1951,2009-09-18,35 Shots of Rum ,Cinema Guild,177511, 
1952,2009-09-18,Blood Creek ,Lionsgate,, 
1953,2009-09-18,The Burning Plain ,Magnolia Pictures,200730, 
1954,2009-09-18,Devil Girl ,Nocturnal Features,3244, 
1955,2009-09-18,Dil Bole Hadippa! ,Yash Raj Films,351457, 
1956,2009-09-18,Disgrace ,Paladin,69705, 
1957,2009-09-18,Lynch Mob ,RP Entertainment,, 
1958,2009-09-18,Paris ,Equinox,1010194, 
1959,2009-09-18,Pretty Ugly People ,,, 
1960,2009-09-18,The Secrets of Jonathan Sperry ,Five & Two Pictures,1355079, 
1961,2009-09-18,Teza ,Mypheduh Film,30071, 
1962,2009-09-18,Wanted ,Eros Entertainment,349637, 
1963,2009-09-18,Cloudy with a Chance of Meatballs ,Sony Pictures,124870275, 
1964,2009-09-21,Rage ,,, 
1965,2009-09-23,Capitalism: A Love Story ,Overture Films,14363397,Play
1966,2009-09-23,The Wizard of Oz ,Warner Bros.,34685891, 
1967,2009-09-25,Fame ,MGM,22455510, 
1968,2009-09-25,Pandorum ,Overture Films,10330853, 
1969,2009-09-25,Surrogates ,Walt Disney,38577772, 
1970,2009-09-25,Trailer Park Boys: Countdown to Liquor Day ,,3012677, 
1971,2009-09-25,Blind Date ,Variance Films,8449, 
1972,2009-09-25,The Blue Tooth Virgin ,Regent Releasing,2762, 
1973,2009-09-25,La Boheme ,Emerging Pictures,79340, 
1974,2009-09-25,The Boys are Back ,Miramax,809752, 
1975,2009-09-25,Brief Interviews with Hideous Men ,IFC Films,33745, 
1976,2009-09-25,Coco Before Chanel ,Sony Pictures Classics,6113834, 
1977,2009-09-25,I Hope They Serve Beer in Hell ,Freestyle Releasing,1429299, 
1978,2009-09-25,Paranormal Activity ,Paramount Pictures,107918810, 
1979,2009-09-25,The Providence Effect ,,62500, 
1980,2009-09-25,What's Your Raashee? ,,257868, 
1981,2009-10-02,The Invention of Lying ,Warner Bros.,18451251, 
1982,2009-10-02,Toy Story 3D Double Feature ,Walt Disney,30702446, 
1983,2009-10-02,Wake Up Sid ,UTV Communications,718766, 
1984,2009-10-02,Whip It ,Fox Searchlight,13077184, 
1985,2009-10-02,Zombieland ,Sony Pictures,75590286, 
